랜드마크,호텔이름,금액,평점,등급
Dome_of_the_Rock,하시미 호텔,167218,4.4,3
Dome_of_the_Rock,레오나르도 호텔 예루살렘,249021,4.5,4
Dome_of_the_Rock,리츠 호텔,175757,4.1,3
Dome_of_the_Rock,다윗 왕 호텔,753759,4.6,5
Dome_of_the_Rock,다비드 시타델 호텔,812667,4.5,5
Dome_of_the_Rock,그랜드 코트 호텔,236423,4.1,4
Dome_of_the_Rock,Mamilla Hotel,638184,4.5,5
Dome_of_the_Rock,The American Colony Hotel Jerusalem,405725,4.6,5
Dome_of_the_Rock,Mount Zion Boutique Hotel,413287,4.3,4
Dome_of_the_Rock,Eldan Hotel,290746,4,4
Eiffel_Tower,호텔 프랑스 에펠,143832,3.2,3
Eiffel_Tower,호텔 르 월트,440212,4.6,4
Eiffel_Tower,풀만 파리 타워 에펠,515936,4.4,4
Eiffel_Tower,호텔 에펠 켄싱턴,160675,3.2,2
Eiffel_Tower,호텔 라 콤테스,288942,4.5,4
Eiffel_Tower,시타딘 투어 에펠 파리,264970,4.1,4
Eiffel_Tower,호텔 에펠 센 ,253560,4.2,3
Eiffel_Tower,호텔 드 라 페 투어 에펠,218353,4.3,3
Eiffel_Tower,그랜드 호텔 레베크,190858,4,3
Eiffel_Tower,호텔 에펠 튀렌,144125,4.5,3
Pantheon,호텔 판테온,279790,4.2,4
Pantheon,베스트 스위트 판테온,219533,4.3,3
Pantheon,Santa Chiara Hotel,237454,4.4,3
Pantheon,"The Pantheon Iconic Rome Hotel, Autograph Collection",800279,4.4,5
Pantheon,호텔 솔레 알 판테온,484981,4.2,4
Pantheon,호텔 레그노,214873,4.2,3
Pantheon,콜론나 팰리스,231946,4.2,4
Pantheon,호텔 르 클라리세 알 판테온,209843,4.3,3
Pantheon,팔라조 나보나 호텔,343982,4.4,4
Pantheon,Navona Stay,182971,3.9,3
pyramid,피라미드 밸리 부티크 호텔,101861,4.2,4
pyramid,Best View Pyramids Hotel,70457,4.6,3
pyramid,Elite Pyramids Boutique Hotel,40807,4.6,3
pyramid,Atlantis Pyramids Inn,69365,4.8,2
pyramid,"메리어트 메나 하우스, 카이로",619415,4.6,5
pyramid,Hayat,67289,3.8,4
pyramid,Turquoise Pyramids & Grand Egyptian museum view Hotel,53597,4.2,3
pyramid,그레이트 피라미드 인,92054,4.4,3
pyramid,이집트 피라미드 인,88744,4.4,4
pyramid,Makadi view pyramids,44679,4.5,3
Rialto_Bridge,호텔 마르코니,530148,4,3
Rialto_Bridge,Palazzo Bembo,61724,4.6,3
Rialto_Bridge,호텔 리알토,514770,4.2,4
Rialto_Bridge,Al Ponte Antico,830627,4.9,4
Rialto_Bridge,호텔 알 가스포 드 우아,340789,3.5,3
Rialto_Bridge,Ca'Leon d'Oro Venezia,373345,4.2,3
Rialto_Bridge,팔라초 라 스칼라,267506,3.8,3
Rialto_Bridge,H10 Palazzo Canova,836092,4.7,4
Rialto_Bridge,호텔 말리브란,297299,4,3
Rialto_Bridge,호텔 알라 파바,238987,3.9,2
Statue_of_Liberty,Casa Cipriani,2775522,4.5,5
Statue_of_Liberty,더블트리 바이 힐튼 NYC,541435,3.6,4
Statue_of_Liberty,하얏트 리젠스 저지 시티,543481,4.3,4
Statue_of_Liberty,Hayatt House Jersey City,503465,4.3,3
Statue_of_Liberty,더블트리 바이 힐튼 호텔 앤드 스위트 저지 시티,576538,4.3,3
Statue_of_Liberty,햄프턴 인 맨해튼/다운타운,601962,4,3
Statue_of_Liberty,Collective Governors Island,436545,4.2,4
Statue_of_Liberty,뉴욕 메리어트 앳 더 브루클린 브리지,637124,4.3,4
Statue_of_Liberty,안다즈 월 스트리트 - 컨셉 바이 하얏트,593956,4.3,4
Statue_of_Liberty,Milennium Hilton New York,587490,4,4
Sydney_Opera_House,글렌페리 로지,153357,4.2,4
Sydney_Opera_House,인터콘티넨탈 시드니,282725,4.3,5
Sydney_Opera_House,머컨틸 호텔,98466,4.3,4
Sydney_Opera_House,The Grand Hotel,103090,3.9,3
Sydney_Opera_House,샹그릴라 호텔 시드니,277741,4.3,5
Sydney_Opera_House,랑데부 호텔 시드니 록스,243314,3.9,4
Sydney_Opera_House,포 시즌스 호텔 시드니,292656,4.5,5
Sydney_Opera_House,리지스 시드니 하버,227025,4.2,4
Sydney_Opera_House,시드니 하버 메리어트 호텔 앳 서큘러 키,289481,4.3,5
Sydney_Opera_House,파크 하얏트 시드니,1062359,4.6,5
Taj_Mahal,카말 호텔,19478,3.8,3
Taj_Mahal,Hotel Saniya palace Inn,14621,3.8,2
Taj_Mahal,호텔 타지 리조트,34285,4.2,4
Taj_Mahal,Hotel Atulyaa Taj,38804,4,4
Taj_Mahal,오베로이 아마빌라스 아그라,529731,4.7,5
Taj_Mahal,싯다르타 호텔,16216,3.9,1
Taj_Mahal,Hotel Raj Bed and Breakfast,6081,3.5,2
Taj_Mahal,Hotel Pratap by Goyal Hoteliers,28499,4.1,3
Taj_Mahal,더 코랄 코트 홈스테이,59542,4.7,4
Taj_Mahal,호텔 타지 케마,26348,3.8,2
