랜드마크,호텔이름,금액,평점,등급,링크
Big_Ben,"Westminster, Curio Collection by Hilton",249684,4.1,4,https://www.booking.com/searchresults.en-gb.html?aid=318615&label=New_English_EN_KR_27026941825-lRkauPYp0yqf8TxVWlAkBwS217244779869%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666995%3Adsa-64415224945%3Alp1009871%3Ali%3Adec%3Adm&gclid=EAIaIQobChMIv6mgj9vvgAMVtloPAh2xGQ35EAAYAiAAEgJTMfD_BwE&highlighted_hotels=217898&redirected=1&city=-2601889&hlrd=no_dates&source=hotel&expand_sb=1&keep_landing=1&sid=9f48d53fb2b9ba0b643d0f8284fd47fb
Big_Ben,hub by Premier Inn London Westminster Abbey hotel,162474,4.5,3,https://www.google.co.kr/travel/search?q=%EB%B9%85%EB%B2%A4%20%EA%B7%BC%EC%B2%98%20%ED%98%B8%ED%85%94&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72288622%2C72298667%2C72302247%2C72305577%2C72314788%2C72317059%2C72318440%2C72329393&hl=ko-KR&gl=kr&ssta=1&ts=CAESCgoCCAMKAggDEAAaNAoWEhQKCS9tLzAyNnlkYzoH67mFIOuypBIaEhQKBwjnDxAJGBISBwjnDxAJGBMYATICEAAqBwoFOgNLUlc&qs=CAAgACgAMidDaGtJX3JXLXdhZnlfYWRtR2cwdlp5OHhNV1JmWkRCaU1uZzNFQUU4DUgA&ap=MABoAQ&ictx=1&sa=X&ved=0CAAQ5JsGahgKEwjg6emm2e-AAxUAAAAAHQAAAAAQuwQ
Big_Ben,프리미어 인 런던 카운티 홀,200191,4.3,3,https://www.google.co.kr/travel/search?q=%EB%B9%85%EB%B2%A4%20%EA%B7%BC%EC%B2%98%20%ED%98%B8%ED%85%94&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72288622%2C72298667%2C72302247%2C72305577%2C72314788%2C72317059%2C72318440%2C72329393&hl=ko-KR&gl=kr&ssta=1&ts=CAESCgoCCAMKAggDEAAaNAoWEhQKCS9tLzAyNnlkYzoH67mFIOuypBIaEhQKBwjnDxAJGBISBwjnDxAJGBMYATICEAAqBwoFOgNLUlc&qs=CAAgACgAMidDaGtJcDVXV3phN2o3dlNxQVJvTUwyY3ZNVEpvYlhnek5ETnNFQUU4DUgA&ap=MABoAQ&ictx=1&sa=X&ved=0CAAQ5JsGahgKEwjg6emm2e-AAxUAAAAAHQAAAAAQ8AQ
Big_Ben,"hub by Premier Inn London Westminster, St James's Park hotel",162474,4.5,3,https://www.google.co.kr/travel/search?q=%EB%B9%85%EB%B2%A4%20%EA%B7%BC%EC%B2%98%20%ED%98%B8%ED%85%94&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72288622%2C72298667%2C72302247%2C72305577%2C72314788%2C72317059%2C72318440%2C72329393&hl=ko-KR&gl=kr&ssta=1&ts=CAESCgoCCAMKAggDEAAaNAoWEhQKCS9tLzAyNnlkYzoH67mFIOuypBIaEhQKBwjnDxAJGBISBwjnDxAJGBMYATICEAAqBwoFOgNLUlc&qs=CAAgACgAMidDaGtJcmNiazdvV0Z2UG82R2cwdlp5OHhNV014Y3pobk5tNW1FQUU4DUgA&ap=MABoAQ&ictx=1&sa=X&ved=0CAAQ5JsGahgKEwjg6emm2e-AAxUAAAAAHQAAAAAQmQU
Big_Ben,에스터 빅토리아 호스텔,61306,3.7,1,https://www.booking.com/searchresults.ko.html?aid=324796&label=astor-victoria-288fAo1htcxfPyaPblZwBAS366488272016%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342138710%3Akwd-304604299861%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8ptFyhvlXtfk0&gclid=EAIaIQobChMIlK_ZmtvvgAMVFjBgCh0RKAc3EAAYASAAEgIKvvD_BwE&highlighted_hotels=1908504&redirected=1&city=-2601889&hlrd=no_dates&source=hotel&expand_sb=1&keep_landing=1&sid=9f48d53fb2b9ba0b643d0f8284fd47fb
Big_Ben,런던 워털루 호스텔,67504,3,2,https://www.booking.com/searchresults.ko.html?aid=324796&label=london-eye-hostel-1gsQmhotzlAcz_HBfJhIVgS366379274523%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342138710%3Akwd-233320997781%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YdzvEsd293RqtZ_wZgTZ0W0&gclid=EAIaIQobChMI_4TqoNvvgAMVnG8PAh3ycgFZEAAYASAAEgLwUPD_BwE&highlighted_hotels=270306&redirected=1&city=-2601889&hlrd=no_dates&source=hotel&expand_sb=1&keep_landing=1&sid=9f48d53fb2b9ba0b643d0f8284fd47fb
Big_Ben,NOX Waterloo,119517,3.5,4,https://www.google.co.kr/travel/search?q=%EB%B9%85%EB%B2%A4%20%EA%B7%BC%EC%B2%98%20%ED%98%B8%ED%85%94&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72288622%2C72298667%2C72302247%2C72305577%2C72314788%2C72317059%2C72318440%2C72329393&hl=ko-KR&gl=kr&ssta=1&ts=CAESCgoCCAMKAggDEAAaNAoWEhQKCS9tLzAyNnlkYzoH67mFIOuypBIaEhQKBwjnDxAJGBISBwjnDxAJGBMYATICEAAqBwoFOgNLUlc&qs=CAAgACgAMihDaG9JaXQycTk2Nzhub1BPQVJvTkwyY3ZNVEZxTW5veGJIY3pkaEFCOA1IAA&ap=MABoAQ&ictx=1&sa=X&ved=0CAAQ5JsGahgKEwjg6emm2e-AAxUAAAAAHQAAAAAQ_AU
Big_Ben,스트랜드 컨티넨탈,85230,3.2,2,https://www.booking.com/searchresults.ko.html?aid=324796&label=strand-continental-cbVlxFbODQ2DlFTKPwOZZwS406688756378%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342138710%3Akwd-137884482981%3Alp1009871%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YdzvEsd293RqtZ_wZgTZ0W0&gclid=EAIaIQobChMIu4f5qNvvgAMVCD6WCh32WgbPEAAYASAAEgIUuvD_BwE&highlighted_hotels=252022&redirected=1&city=-2601889&hlrd=no_dates&source=hotel&expand_sb=1&keep_landing=1&sid=9f48d53fb2b9ba0b643d0f8284fd47fb
Big_Ben,CARLTON HOTEL,79906,3.1,2,https://www.carltonhotel.sg/
Big_Ben,프리미어 인 런던 워털루,184234,4.1,3,https://www.hotelscombined.co.kr/Hotel/Premier_Inn_London_Waterloo.htm?r9ck=iq&gclid=EAIaIQobChMIweeUt9vvgAMVGayWCh3nvAdvEAAYASAAEgJpTvD_BwE
